teamName,year,3_star_recruits,4_star_recruits,5_star_recruits
UT-Arlington,2018,1,0,0
Utah Valley,2018,1,0,0
Wisconsin-Green Bay,2018,1,0,0
FIU,2018,1,0,0
Yale,2018,1,0,0
St. Mary's,2018,1,0,0
Houston Baptist,2018,1,0,0
Weber State,2018,1,0,0
Delaware,2018,1,0,0
Louisiana,2018,1,0,0
Massachusetts,2018,1,0,0
High Point,2018,1,0,0
Pennsylvania,2018,1,0,0
East Carolina,2018,1,0,0
Oral Roberts,2018,1,0,0
BYU,2018,1,0,0
Presbyterian,2018,1,0,0
Duke,2019,0,1,4
Kentucky,2019,0,1,4
Oregon,2019,0,3,2
LSU,2019,3,2,2
Kansas,2019,0,2,2
UCLA,2019,1,4,1
Maryland,2019,4,2,1
Texas,2019,1,4,0
Villanova,2019,1,2,1
Indiana,2019,1,3,1
Michigan,2019,1,4,0
Vanderbilt,2019,0,1,2
North Carolina,2019,0,1,2
Arizona State,2019,1,3,0
Notre Dame,2019,1,4,0
Mississippi State,2019,1,3,0
Michigan State,2019,2,3,0
USC,2019,0,2,1
Florida,2019,0,2,1
Stanford,2019,3,2,0
Providence,2019,2,2,0
Arizona,2019,0,3,0
Wake Forest,2019,4,1,1
Alabama,2019,2,2,0
Illinois,2019,5,2,0
West Virginia,2019,4,2,0
Ohio State,2019,2,2,0
Iowa State,2019,2,2,0
Western Kentucky,2019,1,1,1
Memphis,2019,4,2,0
Georgetown,2019,2,2,0
Pittsburgh,2019,2,2,0
Texas Tech,2019,3,1,0
Northwestern,2019,2,2,0
TCU,2019,3,1,0
Baylor,2019,1,2,0
Georgia,2019,2,2,0
Arkansas,2019,7,0,0
NC State,2019,2,1,0
Utah,2019,4,2,0
Washington,2019,4,1,0
Creighton,2019,2,1,0
Syracuse,2019,2,1,0
California,2019,3,1,0
Minnesota,2019,2,1,0
St. John's,2019,4,0,0
Georgia Tech,2019,2,1,0
Harvard,2019,3,1,0
Purdue,2019,3,0,0
Rhode Island,2019,2,1,0
Rutgers,2019,3,1,0
Nevada,2019,2,0,1
Ole Miss,2019,5,0,0
Virginia Tech,2019,2,1,0
South Carolina,2019,5,0,0
UTEP,2019,3,1,0
Penn State,2019,3,0,0
Saint Louis,2019,2,1,0
Missouri,2019,2,1,0
Oklahoma State,2019,4,0,0
Cincinnati,2019,4,0,0
Clemson,2019,3,0,0
DePaul,2019,3,0,0
Wichita State,2019,7,0,0
Virginia,2019,2,1,0
Xavier,2019,3,0,0
Iowa,2019,1,1,0
UC Santa Barbara,2019,3,0,0
Gonzaga,2019,1,1,0
USF,2019,4,0,0
Boston College,2019,1,1,0
San Diego State,2019,3,0,0
UNLV,2019,2,0,0
Wisconsin,2019,3,0,0
Tulane,2019,3,0,0
UAB,2019,3,0,0
Buffalo,2019,1,1,0
Boise State,2019,3,0,0
Rice,2019,3,0,0
Dayton,2019,1,1,0
Duquesne,2019,4,0,0
Old Dominion,2019,3,0,0
Seattle,2019,3,0,0
Nebraska,2019,3,0,0
Oregon State,2019,3,0,0
Loyola (Chi),2019,3,0,0
Houston,2019,1,1,0
Weber State,2019,3,0,0
Seton Hall,2019,2,0,0
Colorado,2019,3,0,0
Massachusetts,2019,2,0,0
Fresno State,2019,2,0,0
Chattanooga,2019,2,0,0
VCU,2019,2,0,0
SMU,2019,2,0,0
San Jose State,2019,2,0,0
Pennsylvania,2019,2,0,0
Georgia State,2019,2,0,0
Long Beach State,2019,2,0,0
Texas A&M,2019,2,0,0
Northern Illinois,2019,2,0,0
Wisconsin-Milwaukee,2019,2,0,0
Florida Gulf Coast,2019,2,0,0
Kansas State,2019,2,0,0
Georgia Southern,2019,2,0,0
Yale,2019,2,0,0
Butler,2019,2,0,0
Richmond,2019,2,0,0
George Washington,2019,2,0,0
Marquette,2019,0,1,0
Central Arkansas,2019,2,0,0
East Carolina,2019,2,0,0
Northern Iowa,2019,0,1,0
Dartmouth,2019,2,0,0
St. Mary's,2019,0,1,0
Princeton,2019,0,1,0
Boston University,2019,2,0,0
Tennessee,2019,0,1,0
Oklahoma,2019,1,0,0
Connecticut,2019,1,0,0
BYU,2019,1,0,0
Cal State Northridge,2019,1,0,0
Colorado State,2019,1,0,0
Florida State,2019,1,0,0
New Mexico,2019,1,0,0
Arkansas-Little Rock,2019,1,0,0
New Mexico State,2019,1,0,0
Fordham,2019,1,0,0
Bucknell,2019,0,0,0
Coastal Carolina,2019,1,0,0
Tennessee State,2019,1,0,0
Saint Peter's,2019,1,0,0
Pepperdine,2019,1,0,0
UNC Greensboro,2019,1,0,0
Southern Miss,2019,1,0,0
Towson,2019,1,0,0
Temple,2019,1,0,0
Fairfield,2019,1,0,0
Bradley,2019,1,0,0
Cal State Fullerton,2019,1,0,0
Campbell,2019,1,0,0
Columbia,2019,1,0,0
Southern Illinois,2019,1,0,0
Oral Roberts,2019,1,0,0
Western Michigan,2019,1,0,0
Saint Joseph's,2019,1,0,0
Murray State,2019,1,0,0
William & Mary,2019,1,0,0
Northern Kentucky,2019,1,0,0
Southeastern Louisiana,2019,1,0,0
Washington State,2019,1,0,0
UCF,2019,1,0,0
Denver,2019,1,0,0
Lafayette,2019,1,0,0
Samford,2019,1,0,0
Drake,2019,1,0,0
Siena,2019,1,0,0
Belmont,2019,1,0,0
Stetson,2019,1,0,0
Loyola Maryland,2019,1,0,0
George Mason,2019,1,0,0
Sam Houston,2019,1,0,0
Vermont,2019,1,0,0
Furman,2019,0,0,0
Marshall,2019,0,0,0
Youngstown State,2019,0,0,0
Louisville,2019,0,0,0
Memphis,2020,0,5,2
Kentucky,2020,0,2,3
Duke,2020,0,2,2
Oregon,2020,2,3,2
Villanova,2020,1,2,2
Arizona,2020,1,1,2
USC,2020,3,1,2
Florida,2020,2,1,2
North Carolina,2020,1,1,2
Washington,2020,1,1,2
Georgia,2020,2,4,1
Louisville,2020,2,3,1
Gonzaga,2020,2,4,0
Ohio State,2020,1,3,0
Kansas,2020,2,3,0
Texas Tech,2020,4,2,0
Texas,2020,0,3,0
Connecticut,2020,1,3,0
Florida State,2020,3,1,1
Auburn,2020,4,3,0
Alabama,2020,2,3,0
West Virginia,2020,3,2,0
Virginia,2020,2,2,0
Oklahoma State,2020,3,2,0
Oklahoma,2020,6,1,0
Michigan State,2020,1,2,0
Xavier,2020,3,2,0
Tennessee,2020,4,0,1
Maryland,2020,4,1,0
TCU,2020,4,1,0
Miami,2020,1,2,0
LSU,2020,3,0,1
Syracuse,2020,3,2,0
DePaul,2020,3,1,0
Texas A&M,2020,7,0,0
NC State,2020,2,1,0
Minnesota,2020,3,1,0
Harvard,2020,4,1,0
Arizona State,2020,5,1,0
Missouri,2020,2,1,0
Wichita State,2020,6,0,0
Ole Miss,2020,5,1,0
Clemson,2020,2,1,0
Cincinnati,2020,2,1,0
South Carolina,2020,4,0,0
Utah,2020,3,1,0
Virginia Tech,2020,3,1,0
Massachusetts,2020,2,1,0
Pittsburgh,2020,3,1,0
Vanderbilt,2020,4,0,0
VCU,2020,2,1,0
Nebraska,2020,6,0,0
Indiana,2020,1,1,0
Kansas State,2020,5,0,0
Georgetown,2020,4,0,0
Iowa State,2020,4,0,0
Northwestern,2020,2,1,0
Purdue,2020,3,0,0
Stanford,2020,2,1,0
Mississippi State,2020,2,1,0
Loyola Maryland,2020,1,1,0
Houston,2020,3,0,0
Wake Forest,2020,4,0,0
Michigan,2020,0,2,0
Utah State,2020,4,0,0
California,2020,3,0,0
Boston College,2020,4,0,0
Missouri State,2020,3,0,0
Illinois,2020,1,1,0
SMU,2020,5,0,0
Oregon State,2020,6,0,0
Charlotte,2020,4,0,0
Iowa,2020,1,1,0
Western Kentucky,2020,3,0,0
Marquette,2020,1,1,0
Fresno State,2020,4,0,0
UTSA,2020,4,0,0
UCLA,2020,1,1,0
East Carolina,2020,4,0,0
Butler,2020,1,1,0
Colorado State,2020,4,0,0
Saint Louis,2020,3,0,0
Rhode Island,2020,3,0,0
Loyola (Chi),2020,3,0,0
Penn State,2020,3,0,0
Long Beach State,2020,2,0,0
La Salle,2020,3,0,0
UNC Greensboro,2020,3,0,0
UCF,2020,4,0,0
Tulsa,2020,3,0,0
Middle Tennessee State,2020,3,0,0
New Mexico,2020,2,0,0
Florida Atlantic,2020,3,0,0
Rice,2020,3,0,0
Marshall,2020,3,0,0
Louisiana Tech,2020,3,0,0
Ohio,2020,2,0,0
Temple,2020,2,0,0
Washington State,2020,2,0,0
Tulane,2020,3,0,0
Seton Hall,2020,2,0,0
Miami (OH),2020,2,0,0
Appalachian State,2020,2,0,0
Dayton,2020,2,0,0
Creighton,2020,2,0,0
Georgia State,2020,2,0,0
Drexel,2020,2,0,0
Coastal Carolina,2020,2,0,0
San Diego,2020,2,0,0
Pacific,2020,2,0,0
USF,2020,2,0,0
Wyoming,2020,2,0,0
South Alabama,2020,2,0,0
Indiana State,2020,2,0,0
FIU,2020,2,0,0
BYU,2020,2,0,0
Ball State,2020,2,0,0
Toledo,2020,2,0,0
UAB,2020,2,0,0
Providence,2020,0,1,0
Georgia Tech,2020,2,0,0
Yale,2020,2,0,0
Akron,2020,1,0,0
James Madison,2020,1,0,0
Rutgers,2020,1,0,0
Davidson,2020,1,0,0
Baylor,2020,1,0,0
Colorado,2020,1,0,0
Gardner-Webb,2020,1,0,0
George Mason,2020,1,0,0
New Mexico State,2020,1,0,0
Wisconsin,2020,1,0,0
Pennsylvania,2020,1,0,0
Eastern Kentucky,2020,1,0,0
Nevada,2020,1,0,0
UNLV,2020,1,0,0
Air Force,2020,1,0,0
Cal State Fullerton,2020,1,0,0
Denver,2020,1,0,0
UC Santa Barbara,2020,1,0,0
Buffalo,2020,1,0,0
Pepperdine,2020,1,0,0
Duquesne,2020,1,0,0
St. Bonaventure,2020,1,0,0
San Diego State,2020,1,0,0
College of Charleston,2020,1,0,0
Louisiana,2020,1,0,0
Vermont,2020,1,0,0
Kent State,2020,1,0,0
East Tennessee State,2020,1,0,0
North Texas,2020,1,0,0
George Washington,2020,1,0,0
Liberty,2020,1,0,0
Stephen F. Austin,2020,1,0,0
Wisconsin-Green Bay,2020,1,0,0
Arkansas,2020,1,0,0
Fordham,2020,1,0,0
St. John's,2020,1,0,0
Troy,2020,1,0,0
San Jose State,2020,1,0,0
Binghamton,2020,1,0,0
South Carolina Upstate,2020,1,0,0
Rider,2020,1,0,0
North Dakota State,2020,1,0,0
Albany,2020,1,0,0
UTEP,2020,1,0,0
Brown,2020,1,0,0
Northeastern,2020,1,0,0
North Dakota,2020,1,0,0
Quinnipiac,2020,1,0,0
Princeton,2020,1,0,0
Kennesaw State,2020,0,0,0
Northern Illinois,2020,0,0,0
Western Michigan,2020,0,0,0
Bowling Green,2020,0,0,0
Kentucky,2021,0,4,2
North Carolina,2021,0,3,3
Duke,2021,0,2,4
LSU,2021,2,3,1
Tennessee,2021,1,1,2
Gonzaga,2021,0,3,1
Arizona,2021,1,5,0
Arizona State,2021,1,2,1
Arkansas,2021,0,4,0
Auburn,2021,3,1,1
Texas Tech,2021,2,3,0
Alabama,2021,2,3,0
Oklahoma State,2021,3,1,1
Michigan,2021,1,3,0
Indiana,2021,2,1,1
Illinois,2021,2,2,0
Georgia,2021,4,2,0
Stanford,2021,4,0,1
Virginia,2021,1,2,0
Texas A&M,2021,2,2,0
Marquette,2021,0,3,0
Clemson,2021,0,3,0
Kansas,2021,3,0,1
Memphis,2021,1,1,1
Connecticut,2021,1,2,0
Xavier,2021,1,2,0
NC State,2021,4,1,0
Louisville,2021,1,3,0
USC,2021,1,1,1
Pittsburgh,2021,3,2,0
Baylor,2021,1,2,0
Rutgers,2021,4,1,0
Iowa State,2021,3,1,0
Wisconsin,2021,4,1,0
Creighton,2021,1,2,0
Purdue,2021,1,2,0
Kansas State,2021,6,1,0
Washington State,2021,5,1,0
Mississippi State,2021,4,1,0
Virginia Tech,2021,1,2,0
Florida,2021,2,1,0
Syracuse,2021,2,1,0
DePaul,2021,2,1,0
Florida State,2021,2,0,1
Colorado,2021,3,1,0
Butler,2021,5,0,0
Ohio State,2021,2,1,0
Cincinnati,2021,5,0,0
Oregon,2021,0,2,0
Utah,2021,3,1,0
Michigan State,2021,0,2,0
Miami,2021,0,2,0
Houston,2021,2,1,0
Minnesota,2021,3,0,0
UCLA,2021,0,2,0
West Virginia,2021,2,1,0
Wake Forest,2021,2,1,0
TCU,2021,3,0,0
St. Mary's,2021,2,1,0
Georgetown,2021,2,1,0
Maryland,2021,2,1,0
UNLV,2021,4,0,0
Iowa,2021,5,0,0
VCU,2021,4,0,0
Vanderbilt,2021,3,0,0
Kennesaw State,2021,3,0,0
Nebraska,2021,4,0,0
St. John's,2021,5,0,0
Ole Miss,2021,1,1,0
Massachusetts,2021,4,0,0
Davidson,2021,2,0,0
South Alabama,2021,3,0,0
Wichita State,2021,5,0,0
Georgia Tech,2021,3,0,0
Elon,2021,3,0,0
New Mexico,2021,3,0,0
Charlotte,2021,4,0,0
Notre Dame,2021,3,0,0
Harvard,2021,3,0,0
BYU,2021,3,0,0
San Diego State,2021,3,0,0
Penn State,2021,4,0,0
Temple,2021,3,0,0
Georgia State,2021,3,0,0
Pepperdine,2021,1,1,0
Boston College,2021,1,1,0
California,2021,1,1,0
Northwestern,2021,2,0,0
Fresno State,2021,2,0,0
Oklahoma,2021,2,0,0
Oral Roberts,2021,2,0,0
Seton Hall,2021,2,0,0
Dayton,2021,2,0,0
Providence,2021,2,0,0
UAB,2021,2,0,0
UCF,2021,2,0,0
Tulane,2021,2,0,0
South Carolina,2021,2,0,0
Oregon State,2021,2,0,0
Texas,2021,0,0,1
Appalachian State,2021,2,0,0
Marshall,2021,2,0,0
Howard,2021,0,0,1
Rhode Island,2021,2,0,0
Villanova,2021,0,1,0
Yale,2021,2,0,0
Tennessee State,2021,1,0,0
USF,2021,0,1,0
UC Irvine,2021,1,0,0
Iona,2021,1,0,0
La Salle,2021,1,0,0
Troy,2021,1,0,0
Rice,2021,1,0,0
Utah State,2021,1,0,0
East Carolina,2021,1,0,0
Lipscomb,2021,1,0,0
Duquesne,2021,1,0,0
Northern Arizona,2021,1,0,0
Ohio,2021,1,0,0
UNC Asheville,2021,1,0,0
Colorado State,2021,1,0,0
Western Illinois,2021,1,0,0
Richmond,2021,1,0,0
Cal Poly,2021,1,0,0
San Jose State,2021,1,0,0
Long Beach State,2021,1,0,0
College of Charleston,2021,1,0,0
Morgan State,2021,1,0,0
Florida Gulf Coast,2021,1,0,0
Akron,2021,1,0,0
Buffalo,2021,1,0,0
Winthrop,2021,1,0,0
Western Kentucky,2021,1,0,0
Austin Peay,2021,1,0,0
Tulsa,2021,1,0,0
Eastern Kentucky,2021,1,0,0
Princeton,2021,1,0,0
Nevada,2021,1,0,0
Cleveland State,2021,1,0,0
Bowling Green,2021,1,0,0
Boise State,2021,1,0,0
Wofford,2021,1,0,0
Bucknell,2021,1,0,0
SIU Edwardsville,2021,1,0,0
Liberty,2021,1,0,0
Western Michigan,2021,1,0,0
Gardner-Webb,2021,1,0,0
Washington,2021,1,0,0
James Madison,2021,1,0,0
Missouri State,2021,1,0,0
Loyola (Chi),2021,1,0,0
Missouri,2021,1,0,0
Bradley,2021,1,0,0
Old Dominion,2021,0,0,0
Wright State,2021,0,0,0
Northern Iowa,2021,0,0,0
UC Riverside,2021,0,0,0
Memphis,2022,2,2,2
Kentucky,2022,0,1,3
Michigan,2022,1,3,2
Gonzaga,2022,0,2,2
Tennessee,2022,3,2,2
Duke,2022,0,1,3
LSU,2022,2,2,1
Creighton,2022,1,4,0
Florida State,2022,1,2,1
Connecticut,2022,0,4,0
Kansas,2022,0,4,0
Michigan State,2022,0,2,1
Colorado,2022,2,3,0
Alabama,2022,0,2,1
Baylor,2022,0,2,1
Georgetown,2022,3,1,1
Louisville,2022,1,3,0
Nebraska,2022,3,2,0
Marquette,2022,3,2,0
Stanford,2022,1,1,1
Dayton,2022,3,1,0
Villanova,2022,1,2,0
Illinois,2022,0,3,0
Miami,2022,1,2,0
NC State,2022,1,2,0
Texas A&M,2022,1,2,0
Arizona State,2022,4,1,0
South Carolina,2022,3,1,0
Georgia Tech,2022,2,1,0
Seton Hall,2022,2,1,0
Ole Miss,2022,3,1,0
Wisconsin,2022,4,0,0
SMU,2022,3,1,0
UCLA,2022,0,1,1
Northwestern,2022,2,1,0
Oklahoma,2022,3,1,0
Indiana,2022,0,2,0
Purdue,2022,0,2,0
USC,2022,2,1,0
Mississippi State,2022,2,1,0
North Carolina,2022,0,2,0
Vanderbilt,2022,2,1,0
Wake Forest,2022,3,0,0
Houston,2022,3,0,0
Maryland,2022,0,2,0
West Virginia,2022,4,0,0
Clemson,2022,3,0,0
Washington,2022,0,2,0
Ohio State,2022,1,1,0
Missouri,2022,5,0,0
Florida,2022,1,1,0
Western Kentucky,2022,1,1,0
Harvard,2022,4,0,0
Xavier,2022,1,1,0
Pepperdine,2022,3,0,0
Notre Dame,2022,1,1,0
Wisconsin-Milwaukee,2022,1,0,1
Washington State,2022,1,1,0
Georgia,2022,3,0,0
Butler,2022,3,0,0
Tulsa,2022,3,0,0
St. John's,2022,3,0,0
California,2022,2,0,0
Providence,2022,2,0,0
Wichita State,2022,2,0,0
Iowa,2022,2,0,0
VCU,2022,2,0,0
Oregon State,2022,2,0,0
George Washington,2022,2,0,0
Nevada,2022,2,0,0
Auburn,2022,0,0,1
Oregon,2022,0,0,1
Syracuse,2022,0,1,0
Texas,2022,0,1,0
Temple,2022,2,0,0
Iowa State,2022,0,1,0
Arizona,2022,0,1,0
North Texas,2022,2,0,0
Virginia,2022,0,1,0
DePaul,2022,0,1,0
Old Dominion,2022,2,0,0
Arkansas,2022,0,1,0
Georgia State,2022,2,0,0
Richmond,2022,2,0,0
Samford,2022,0,1,0
UCF,2022,1,0,0
Drake,2022,1,0,0
Virginia Tech,2022,1,0,0
Long Beach State,2022,1,0,0
Boston College,2022,1,0,0
BYU,2022,1,0,0
Georgia Southern,2022,1,0,0
Minnesota,2022,1,0,0
San Diego State,2022,1,0,0
Rutgers,2022,1,0,0
TCU,2022,1,0,0
Saint Joseph's,2022,1,0,0
Wyoming,2022,1,0,0
USF,2022,1,0,0
San Diego,2022,1,0,0
UNLV,2022,1,0,0
UTSA,2022,1,0,0
Pittsburgh,2022,1,0,0
Florida Atlantic,2022,1,0,0
East Carolina,2022,1,0,0
Buffalo,2022,1,0,0
Louisiana,2022,1,0,0
Austin Peay,2022,1,0,0
Oral Roberts,2022,1,0,0
St. Mary's,2022,1,0,0
Boise State,2022,1,0,0
La Salle,2022,1,0,0
Texas Tech,2022,1,0,0
Louisiana Tech,2022,1,0,0
George Mason,2022,1,0,0
Rhode Island,2022,1,0,0
James Madison,2022,1,0,0
East Tennessee State,2022,1,0,0
Utah State,2022,1,0,0
Colorado State,2022,1,0,0
South Alabama,2022,1,0,0
Duquesne,2022,1,0,0
Kansas State,2022,1,0,0
Iona,2022,1,0,0
Hofstra,2022,1,0,0
Furman,2022,1,0,0
Liberty,2022,1,0,0
Akron,2022,1,0,0
Loyola (Chi),2022,1,0,0
The Citadel,2022,1,0,0
Brown,2022,1,0,0
North Carolina A&T,2022,1,0,0
Tennessee State,2022,1,0,0
Elon,2022,1,0,0
Boston University,2022,1,0,0
Illinois-Chicago,2022,1,0,0
Belmont,2022,1,0,0
Columbia,2022,1,0,0
Albany,2022,1,0,0
Wright State,2022,1,0,0
Sam Houston,2022,1,0,0
Utah Valley,2022,0,0,0
Charlotte,2022,0,0,0
UNC Wilmington,2022,0,0,0
Evansville,2022,0,0,0
Northern Kentucky,2022,0,0,0
Davidson,2022,0,0,0
Stetson,2022,0,0,0
Toledo,2022,0,0,0
Valparaiso,2022,0,0,0
William & Mary,2022,0,0,0
American,2022,0,0,0
Wisconsin-Green Bay,2022,0,0,0
Bradley,2022,0,0,0
Southern Illinois,2022,0,0,0
North Dakota,2022,0,0,0
New Mexico State,2022,0,0,0
Yale,2022,0,0,0
Montana State,2022,0,0,0
Utah,2022,0,0,0
Princeton,2022,0,0,0
Indiana State,2022,0,0,0
Wofford,2022,0,0,0
Ball State,2022,0,0,0
Appalachian State,2022,0,0,0
Air Force,2022,0,0,0
UC Santa Barbara,2022,0,0,0
Mount St. Mary's,2022,0,0,0
Northern Iowa,2022,0,0,0
